start training
[0/30][0/39]	Loss_D: 1.509966	Loss_g: 2.397307	D(x): 0.541791	D(G(z)): 0.487771 / 0.134871
[1/30][0/39]	Loss_D: 0.039687	Loss_g: 7.695074	D(x): 0.991844	D(G(z)): 0.030339 / 0.000658
[2/30][0/39]	Loss_D: 0.037467	Loss_g: 15.096722	D(x): 0.972045	D(G(z)): 0.000001 / 0.000000
[3/30][0/39]	Loss_D: 0.092204	Loss_g: 7.685059	D(x): 0.975102	D(G(z)): 0.061061 / 0.000623
[4/30][0/39]	Loss_D: 0.020998	Loss_g: 6.942494	D(x): 0.996702	D(G(z)): 0.017418 / 0.001216
[5/30][0/39]	Loss_D: 0.028293	Loss_g: 6.783917	D(x): 0.989753	D(G(z)): 0.016044 / 0.001553
[6/30][0/39]	Loss_D: 0.013882	Loss_g: 6.789351	D(x): 0.994087	D(G(z)): 0.007809 / 0.001306
[7/30][0/39]	Loss_D: 0.012964	Loss_g: 8.460084	D(x): 0.993007	D(G(z)): 0.005764 / 0.000262
[8/30][0/39]	Loss_D: 0.042660	Loss_g: 6.087171	D(x): 0.974335	D(G(z)): 0.014799 / 0.002466
[9/30][0/39]	Loss_D: 0.038439	Loss_g: 6.648933	D(x): 0.986935	D(G(z)): 0.021950 / 0.001451
[10/30][0/39]	Loss_D: 0.021464	Loss_g: 6.299768	D(x): 0.990020	D(G(z)): 0.011166 / 0.003050
[11/30][0/39]	Loss_D: 0.020146	Loss_g: 6.570209	D(x): 0.994324	D(G(z)): 0.014159 / 0.001675
[12/30][0/39]	Loss_D: 0.021688	Loss_g: 6.503358	D(x): 0.994623	D(G(z)): 0.015562 / 0.001804
[13/30][0/39]	Loss_D: 0.006498	Loss_g: 6.859341	D(x): 0.997959	D(G(z)): 0.004423 / 0.001200
[14/30][0/39]	Loss_D: 0.006901	Loss_g: 6.362499	D(x): 0.998577	D(G(z)): 0.005445 / 0.001885
[15/30][0/39]	Loss_D: 0.004563	Loss_g: 6.378226	D(x): 0.999188	D(G(z)): 0.003740 / 0.001847
[16/30][0/39]	Loss_D: 0.007706	Loss_g: 6.737960	D(x): 0.997504	D(G(z)): 0.005104 / 0.001290
[17/30][0/39]	Loss_D: 0.004216	Loss_g: 7.016889	D(x): 0.998518	D(G(z)): 0.002714 / 0.001004
[18/30][0/39]	Loss_D: 0.002476	Loss_g: 7.559567	D(x): 0.998640	D(G(z)): 0.001106 / 0.000594
[19/30][0/39]	Loss_D: 0.004290	Loss_g: 6.926414	D(x): 0.997663	D(G(z)): 0.001870 / 0.001091
[20/30][0/39]	Loss_D: 0.003389	Loss_g: 6.899335	D(x): 0.998885	D(G(z)): 0.002262 / 0.001098
[21/30][0/39]	Loss_D: 0.003553	Loss_g: 6.689206	D(x): 0.999241	D(G(z)): 0.002784 / 0.001315
[22/30][0/39]	Loss_D: 0.004559	Loss_g: 6.938348	D(x): 0.997643	D(G(z)): 0.002111 / 0.001023
[23/30][0/39]	Loss_D: 0.008464	Loss_g: 6.659845	D(x): 0.996837	D(G(z)): 0.005272 / 0.001486
[24/30][0/39]	Loss_D: 0.011784	Loss_g: 7.472800	D(x): 0.999056	D(G(z)): 0.010772 / 0.000623
[25/30][0/39]	Loss_D: 0.008985	Loss_g: 6.682421	D(x): 0.996186	D(G(z)): 0.005129 / 0.001589
[26/30][0/39]	Loss_D: 0.008599	Loss_g: 6.587988	D(x): 0.997808	D(G(z)): 0.006369 / 0.001933
[27/30][0/39]	Loss_D: 0.010838	Loss_g: 6.566777	D(x): 0.994348	D(G(z)): 0.005111 / 0.001731
[28/30][0/39]	Loss_D: 0.174315	Loss_g: 3.039984	D(x): 0.892514	D(G(z)): 0.045183 / 0.056660
[29/30][0/39]	Loss_D: 0.148869	Loss_g: 4.819076	D(x): 0.965593	D(G(z)): 0.090878 / 0.009129
